Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,48.782501,48.887001,48.097500,48.373501,48.373501,30782000
2017-10-03,48.377998,48.622002,48.135502,48.604000,48.604000,21666000
2017-10-04,48.588001,48.720001,48.280499,48.339001,48.339001,21156000
2017-10-05,48.639500,49.325500,48.513500,49.259499,49.259499,35618000
2017-10-06,49.000000,49.713001,48.925499,49.681999,49.681999,31060000
2017-10-09,49.750000,50.022999,49.575001,49.615501,49.615501,25910000
2017-10-10,49.764999,49.873501,49.055500,49.389999,49.389999,23268000
2017-10-11,49.452000,50.378502,49.396999,50.282501,50.282501,36300000
2017-10-12,50.192001,50.577000,50.055000,50.282501,50.282501,30614000
2017-10-13,50.455502,50.737999,50.353001,50.393501,50.393501,26552000
2017-10-16,50.481499,50.599998,50.076000,50.467499,50.467499,21420000
2017-10-17,50.372002,50.728001,50.302502,50.549999,50.549999,20260000
2017-10-18,50.552502,50.815498,50.265999,50.637001,50.637001,25596000
2017-10-19,50.237499,50.366001,49.865002,50.091999,50.091999,34284000
2017-10-20,50.352501,50.432499,50.113499,50.253502,50.253502,32120000
2017-10-23,50.258999,50.289501,49.154999,49.277000,49.277000,32786000
2017-10-24,49.325001,49.463001,48.854000,49.424500,49.424500,28902000
2017-10-25,49.313499,49.721500,48.886002,49.573002,49.573002,30574000
2017-10-26,49.923500,50.325500,49.523499,49.570999,49.570999,47396000
2017-10-27,51.549500,53.181000,51.342499,51.683498,51.683498,103682000
2017-10-30,51.458000,51.991501,51.116501,51.656502,51.656502,46804000
2017-10-31,51.650002,52.049999,51.314999,51.652000,51.652000,30326000
2017-11-01,51.816002,52.393002,51.700001,52.130001,52.130001,43262000
2017-11-02,51.999500,52.276001,51.432999,52.148499,52.148499,26694000
2017-11-03,52.137501,52.533001,51.882500,52.499500,52.499500,27770000
2017-11-06,52.455002,52.629501,52.099998,52.133999,52.133999,18294000
2017-11-07,52.482498,52.670502,52.150002,52.619499,52.619499,26104000
2017-11-08,52.502499,53.134499,52.352501,52.914501,52.914501,24276000
2017-11-09,52.400002,52.543999,51.792500,52.386002,52.386002,35892000
2017-11-10,52.193501,52.331501,52.061001,52.207500,52.207500,19442000
2017-11-13,52.040001,52.437000,51.963001,52.060001,52.060001,18814000
2017-11-14,51.886002,52.115002,51.466499,52.082001,52.082001,21012000
2017-11-15,51.750000,51.981499,51.537998,51.820499,51.820499,18106000
2017-11-16,51.937500,52.588001,51.900002,52.423500,52.423500,23768000
2017-11-17,52.490002,52.549999,51.686501,51.794498,51.794498,26712000
2017-11-20,51.799999,51.935001,51.633999,51.733002,51.733002,17526000
2017-11-21,52.001999,52.519501,51.957001,52.514999,52.514999,22206000
2017-11-22,52.557999,52.771500,52.362499,52.596001,52.596001,14538000
2017-11-24,52.719501,53.003502,52.596001,52.826000,52.826000,16492000
2017-11-27,52.928501,53.652000,52.738499,53.600498,53.600498,35430000
2017-11-28,53.699501,54.000000,52.727001,53.164501,53.164501,36424000
2017-11-29,52.808998,52.938499,51.482498,51.868999,51.868999,55866000
2017-11-30,51.997002,52.207001,51.503502,51.808498,51.808498,45092000
2017-12-01,51.520500,51.862000,50.845001,51.253502,51.253502,37762000
2017-12-04,51.389999,51.567001,50.460999,50.593498,50.593498,38778000
2017-12-05,50.549500,51.834000,50.116001,50.980000,50.980000,38998000
2017-12-06,50.826000,51.979000,50.765499,51.636002,51.636002,28710000
2017-12-07,51.803501,52.445999,51.768002,52.228500,52.228500,30866000
